model,strategy,module,function,ccm,total_tests,passed_tests,fn_functions_pct
qwen_coder_7b,few_shot,patient,createPatient,4,3.0,3.0,100.0
qwen_coder_7b,few_shot,encounter,listEncountersByPatient,1,2.0,1.0,100.0
qwen_coder_7b,few_shot,encounter,getEncounterById,2,2.0,2.0,100.0
qwen_coder_7b,few_shot,order,getOrderById,2,2.0,2.0,100.0
qwen_coder_7b,few_shot,order,searchOrdersAdvanced,1,2.0,2.0,100.0
qwen_coder_7b,few_shot,order,cancelOrder,2,2.0,2.0,100.0
qwen_coder_7b,few_shot,patient,getPatientById,2,2.0,2.0,100.0
qwen_coder_7b,few_shot,patient,findByCpfOrFail,2,2.0,2.0,100.0
qwen_coder_7b,few_shot,result,createResult,5,2.0,1.0,100.0
qwen_coder_7b,few_shot,result,getResultById,2,2.0,2.0,100.0
qwen_coder_7b,few_shot,result,buildResultReport,17,2.0,2.0,100.0
qwen_coder_7b,few_shot,order,searchOrders,1,1.0,1.0,100.0
qwen_coder_7b,few_shot,patient,listPatients,1,1.0,1.0,100.0
qwen_coder_7b,few_shot,result,searchResults,1,1.0,1.0,100.0
qwen_coder_7b,structured,encounter,transitionEncounterStatus,18,12.0,12.0,100.0
qwen_coder_7b,structured,order,validateOrderResult,15,12.0,5.0,33.33
qwen_coder_7b,structured,result,updateResult,26,8.0,8.0,100.0
qwen_coder_7b,structured,encounter,updateEncounter,9,6.0,4.0,100.0
qwen_coder_7b,structured,encounter,validateEncounterFields,11,5.0,5.0,100.0
qwen_coder_7b,structured,encounter,processAdtMessage,21,5.0,4.0,100.0
qwen_coder_7b,structured,order,updateOrder,7,5.0,5.0,100.0
qwen_coder_7b,structured,encounter,createEncounter,5,4.0,3.0,100.0
qwen_coder_7b,structured,order,createOrder,5,4.0,4.0,100.0
qwen_coder_7b,structured,result,createResult,5,4.0,3.0,100.0
qwen_coder_7b,structured,result,buildResultReport,17,4.0,1.0,50.0
qwen_coder_7b,structured,patient,createPatient,4,3.0,3.0,100.0
qwen_coder_7b,structured,encounter,listEncountersByPatient,1,2.0,2.0,100.0
qwen_coder_7b,structured,encounter,getEncounterById,2,2.0,2.0,100.0
qwen_coder_7b,structured,order,getOrderById,2,2.0,2.0,100.0
qwen_coder_7b,structured,order,searchOrders,1,2.0,2.0,100.0
qwen_coder_7b,structured,order,cancelOrder,2,2.0,2.0,100.0
qwen_coder_7b,structured,patient,getPatientById,2,2.0,2.0,100.0
qwen_coder_7b,structured,patient,listPatients,1,2.0,1.0,100.0
qwen_coder_7b,structured,patient,findByCpfOrFail,2,2.0,2.0,100.0
qwen_coder_7b,structured,result,getResultById,2,2.0,2.0,100.0
qwen_coder_7b,structured,order,searchOrdersAdvanced,1,1.0,1.0,100.0
qwen_coder_7b,structured,result,searchResults,1,1.0,1.0,100.0
qwen_coder_7b,zero_shot,encounter,transitionEncounterStatus,18,11.0,10.0,100.0
qwen_coder_7b,zero_shot,order,validateOrderResult,15,10.0,2.0,33.33
qwen_coder_7b,zero_shot,result,updateResult,26,8.0,7.0,100.0
qwen_coder_7b,zero_shot,encounter,buildEncounterSummary,20,6.0,3.0,100.0
qwen_coder_7b,zero_shot,encounter,createEncounter,5,5.0,3.0,100.0
qwen_coder_7b,zero_shot,encounter,validateEncounterFields,11,5.0,5.0,100.0
qwen_coder_7b,zero_shot,encounter,processAdtMessage,21,5.0,2.0,100.0
qwen_coder_7b,zero_shot,encounter,updateEncounter,9,5.0,3.0,100.0
qwen_coder_7b,zero_shot,order,updateOrder,7,5.0,5.0,100.0
qwen_coder_7b,zero_shot,order,createOrder,5,4.0,4.0,100.0
qwen_coder_7b,zero_shot,patient,createPatient,4,3.0,3.0,100.0
qwen_coder_7b,zero_shot,encounter,getEncounterById,2,2.0,2.0,100.0
qwen_coder_7b,zero_shot,order,getOrderById,2,2.0,2.0,100.0
qwen_coder_7b,zero_shot,order,cancelOrder,2,2.0,2.0,100.0
qwen_coder_7b,zero_shot,patient,getPatientById,2,2.0,2.0,100.0
qwen_coder_7b,zero_shot,patient,listPatients,1,2.0,1.0,100.0
qwen_coder_7b,zero_shot,patient,findByCpfOrFail,2,2.0,2.0,100.0
qwen_coder_7b,zero_shot,result,createResult,5,2.0,2.0,100.0
qwen_coder_7b,zero_shot,result,getResultById,2,2.0,2.0,100.0
qwen_coder_7b,zero_shot,result,buildResultReport,17,2.0,1.0,50.0
qwen_coder_7b,zero_shot,encounter,listEncountersByPatient,1,1.0,1.0,100.0
qwen_coder_7b,zero_shot,order,searchOrdersAdvanced,1,1.0,1.0,100.0
qwen_coder_7b,zero_shot,result,searchResults,1,1.0,1.0,100.0
